Configuration,PSNR_dB,Sharpness
Task 1 - Sigma 10 - 3x3,22.83394,277.89725
Task 1 - Sigma 10 - 5x5,21.055374,67.5125
Task 1 - Sigma 10 - 9x9,19.641386,18.34782
Task 1 - Sigma 25 - 3x3,22.14143,469.9385
Task 1 - Sigma 25 - 5x5,20.862804,104.53214
Task 1 - Sigma 25 - 9x9,19.586193,24.141716
Task 2 - Motion Blur,21.049883,405.67444
Task 2 - 4 Neighbor,18.624537,6819.6797
Task 2 - 8 Neighbor,13.772069,27111.754
Task 3 - k=1,21.263008,24653.416
Task 3 - k=1.5,18.990799,35550.703
Task 3 - k=2,17.298744,47149.26
Task 3 - k=3,14.962788,70656.93
